ID,Type,Area,X [m],Y [m],DepthRef [m],Z [m],Q/P [m^2/s],Koriginal [m/s],Krevised [m/s],LowerBoundFlag,,lnK
151009A,HPT09,Source,171.284,37.759,5.69570253,8.40429747,5.16E-06,6.02E-06,4.50E-06,0,,-5.34677873
151009A,HPT09,Source,171.284,37.759,5.710941786,8.389058214,5.13E-06,5.94E-06,4.51E-06,0,,-5.3454398
151009A,HPT09,Source,171.284,37.759,5.726181042,8.373818958,5.08E-06,5.83E-06,4.58E-06,0,,-5.339463474
151009A,HPT09,Source,171.284,37.759,5.741420299,8.358579701,5.59E-06,7.16E-06,4.77E-06,0,,-5.321357303
151009A,HPT09,Source,171.284,37.759,5.756659555,8.343340445,5.38E-06,6.59E-06,4.69E-06,0,,-5.328923581
151009A,HPT09,Source,171.284,37.759,5.771898811,8.328101189,5.13E-06,5.96E-06,4.50E-06,0,,-5.347122692
151009A,HPT09,Source,171.284,37.759,5.787138068,8.312861932,5.04E-06,5.72E-06,4.34E-06,0,,-5.362332553
151009A,HPT09,Source,171.284,37.759,5.802377324,8.297622676,4.99E-06,5.61E-06,4.24E-06,0,,-5.373010986
151009A,HPT09,Source,171.284,37.759,5.81761658,8.28238342,4.98E-06,5.57E-06,4.16E-06,0,,-5.380400941
151009A,HPT09,Source,171.284,37.759,5.832855837,8.267144163,4.96E-06,5.54E-06,4.10E-06,0,,-5.386958787
151009A,HPT09,Source,171.284,37.759,5.848095093,8.251904907,4.77E-06,5.09E-06,4.03E-06,0,,-5.394757413
151009A,HPT09,Source,171.284,37.759,5.863334349,8.236665651,4.91E-06,5.40E-06,4.09E-06,0,,-5.388459275
151009A,HPT09,Source,171.284,37.759,5.878573606,8.221426394,4.84E-06,5.24E-06,4.18E-06,0,,-5.378338476
